dataset_id,n_cap,original,perturbed,delta
151,500,0.4447925756478684,0.47721339494910686,0.03242081930123847
151,1500,0.3744163577067442,0.4449076121532836,0.07049125444653942
151,4000,0.3166118706680456,0.4047057024854875,0.0880938318174419
182,500,0.3193555068706168,0.3340519637110519,0.01469645684043508
182,1500,0.26809515565451836,0.2827252882183124,0.01463013256379403
182,4000,0.1958956326469441,0.22494754005433848,0.029051907407394384
1053,500,0.4568764968945698,0.4609872644241756,0.004110767529605819
1053,1500,0.4595462534019185,0.4588819968298467,-0.0006642565720718085
1053,4000,0.4469258338267327,0.4518406800450157,0.004914846218283031
1461,500,0.23493050563107704,0.23047276877411177,-0.0044577368569652664
1461,1500,0.2061656958826831,0.21967740828882318,0.013511712406140075
1461,4000,0.19420589002593586,0.20641062745684088,0.012204737430905027
1478,500,0.07723169659296165,0.170656358708715,0.09342466211575336
1478,1500,0.03995155505840382,0.10548270215022948,0.06553114709182566
1486,500,0.1593406841231078,0.1710202430151551,0.011679558892047276
1486,1500,0.14014366803339848,0.16148767313481263,0.021344005101414154
1486,4000,0.11605337647732547,0.12745700562482118,0.011403629147495709
