dataset_id,n_cap,original,rotated,delta
151,500,0.44074256631759035,0.47444874488940914,0.03370617857181879
151,2000,0.35654829740852445,0.44175701061201916,0.08520871320349471
151,10000,0.27405475186578976,0.3708379560170294,0.09678320415123964
1461,500,0.2419992888715842,0.2398872141759206,-0.0021120746956636016
1461,2000,0.20174234484284434,0.2103843370747988,0.00864199223195447
1461,10000,0.19000797178071502,0.19640231037199674,0.0063943385912817174
1590,500,0.3215890571553243,0.33054058494789557,0.008951527792571246
1590,2000,0.31134137751029334,0.32763544875389317,0.016294071243599828
1590,10000,0.29412402995628656,0.30311876465263937,0.008994734696352813
44089,500,0.4861466110848785,0.5278362524449476,0.041689641360069085
44089,2000,0.4654682014889033,0.5067726743075159,0.04130447281861266
44089,10000,0.46373854291375144,0.5050043715932795,0.04126582867952805
44120,500,0.48774927138793656,0.5167224202047382,0.028973148816801686
44120,2000,0.4076084129104349,0.46994282734828186,0.06233441443784693
44120,10000,0.3446953285788397,0.41854860131678673,0.073853272737947
44121,500,0.55456449176712,0.5643772806882053,0.00981278892108528
44121,2000,0.477413947855609,0.5172157113403824,0.03980176348477338
44121,10000,0.35301258476020037,0.4282011264165085,0.07518854165630812
44156,500,0.4689988099385348,0.5121750947823485,0.04317628484381364
44156,2000,0.3850766646968374,0.4531337075374066,0.06805704284056924
44156,10000,0.28482920005613976,0.37077234242838564,0.08594314237224587
45028,500,0.30540856511577785,0.33268510930575657,0.027276544189978713
45028,2000,0.25174766407429483,0.31761356253338463,0.0658658984590898
45028,10000,0.20338003805622984,0.2636508386410774,0.06027080058484757
46905,500,0.20018491576347325,0.2005525469811924,0.0003676312177191554
46905,2000,0.18496077491839583,0.1914761267626409,0.006515351844245065
46905,10000,0.16077757080404745,0.1760668869597315,0.015289316155684046
46910,2000,0.3080423632385507,0.3096948259827039,0.0016524627441532047
46910,10000,0.3060540858959231,0.30429189526083084,-0.0017621906350922534
46929,500,0.19133511197152894,0.1905823642209874,-0.0007527477505415436
46929,2000,0.19251935540770568,0.2017233106080533,0.009203955200347613
46929,10000,0.18615001260498323,0.19841522035404255,0.012265207749059315
46935,500,0.45274036735488404,0.4669403072447247,0.01419993988984064
46935,2000,0.4474535892930106,0.45552203905757727,0.008068449764566665
46935,10000,0.43963953085175206,0.44358655977649086,0.003947028924738805
46955,500,0.08998553336407605,0.15144742474793332,0.06146189138385727
46955,2000,0.0736644587752574,0.11436286803392318,0.040698409258665774
46955,10000,0.07247326133891585,0.09418301257807056,0.02170975123915471
