dataset_id,original,rotated,delta,name
29,0.30431135696002254,0.31881831593132703,0.014506958971304496,credit-approval
32,0.0466923997030038,0.04831486757511371,0.0016224678721099145,pendigits
37,0.43068828610986726,0.4245659994004208,-0.006122286709446478,diabetes
151,0.43506579999575856,0.43543068189115053,0.00036488189539196636,electricity
1461,0.25001206182432567,0.2535439410305959,0.0035318792062702387,bank-marketing
1462,0.0002851142641613082,0.0006074039725747711,0.0003222897084134629,banknote-authentication
1464,0.48572443850105457,0.4908456085533973,0.0051211700523427495,blood-transfusion-service-center
1480,0.5189782236693116,0.5309782378726792,0.012000014203367604,ilpd
1489,0.3664507392100266,0.3626245741526554,-0.003826165057371156,phoneme
1590,0.3683331680288773,0.35965136399469505,-0.008681804034182228,adult
40983,0.0744677413863889,0.06909259276903398,-0.0053751486173549134,wilt
44089,0.49138143550682684,0.5248818570588012,0.03350042155197436,credit
44120,0.4780324850332231,0.481695440829836,0.00366295579661291,electricity
44121,0.46580226215429793,0.46721715556912646,0.001414893414828533,covertype
44123,0.3279973321884935,0.3658486498565246,0.037851317668031126,house_16H
44125,0.33669735115718585,0.33730909288333577,0.000611741726149917,MagicTelescope
44126,0.46038041775002225,0.4626309345015459,0.002250516751523657,bank-marketing
44156,0.46962286412088255,0.46976135773048316,0.00013849360960060952,electricity
45028,0.316556807735312,0.31379039858988406,-0.002766409145427917,california
46905,0.20839036795823768,0.20945383858195327,0.00106347062371559,Amazon_employee_access
46910,0.3034953354902066,0.30406276705891183,0.0005674315687052567,bank-marketing
46911,0.3959828138578174,0.3940621211606104,-0.001920692697207016,Bank_Customer_Churn
46913,0.5152923852249555,0.5197225304518239,0.004430145226868465,blood-transfusion-service-center
46921,0.49249727947712074,0.49004148562406935,-0.002455793853051391,diabetes
46929,0.1749866544942385,0.18843152251343698,0.013444868019198475,GiveMeSomeCredit
46935,0.4591296022433165,0.45243342116649304,-0.00669618107682346,HR_Analytics_Job_Change_of_Data_Scientists
46938,0.35925067265666627,0.358977986005587,-0.00027268665107926804,Is-this-a-good-customer
46955,0.12601565204954354,0.13181155935258868,0.005795907303045134,SDSS17
46956,0.22375549350360455,0.2241644239396715,0.0004089304360669621,seismic-bumps
46964,1.0311627203291491,1.038160389977888,0.006997669648738825,wine_quality
