axis,spearman,p,n,abs_rho
param_signal_scale,0.8289948696248274,7.948623930536344e-19,70,0.8289948696248274
param_label_noise,0.5251615712129805,1.3163235135916083e-06,75,0.5251615712129805
param_amplitude,0.4926052911490188,3.100389286329105e-10,145,0.4926052911490188
param_depth,0.47847597298716765,5.908922769044238e-10,150,0.47847597298716765
param_leaf_purity,0.4729933523570887,9.838760401720751e-10,150,0.4729933523570887
param_rotation_strength,-0.3533864101620463,0.0018707543971929054,75,0.3533864101620463
param_cond_number,0.3302929860207589,0.0038028223515803607,75,0.3302929860207589
param_struct_seed,0.23274393881151212,9.167021463248928e-08,515,0.23274393881151212
mod_class_imbalance_ratio,0.2047163883007677,2.8110462750822656e-06,515,0.2047163883007677
param_lengthscale,-0.16464756100732694,0.15806935482693799,75,0.16464756100732694
param_frequency,-0.13794657039245248,0.2547794565411866,70,0.13794657039245248
param_d,0.11548303170992372,0.00871233609984945,515,0.11548303170992372
mod_label_noise_rate,-0.09173463583282973,0.03742279248201118,515,0.09173463583282973
mod_heavy_tails_strength,0.07823614719463415,0.0760852766672004,515,0.07823614719463415
param_noise_scale,0.07797594447706306,0.5060742334120636,75,0.07797594447706306
mod_uninformative_features_fraction,-0.06258909347151881,0.15609968229216467,515,0.06258909347151881
param_separation,0.059016528361067834,0.6149976717720839,75,0.059016528361067834
