rotation_strength,model,seed,status,regret,bayes_logloss
0.0,tabpfn,0,ok,0.18172723961491644,0.3732016318895376
0.0,strong_classical,0,ok,0.12972234686819742,0.3732016318895376
0.0,tabpfn,1,ok,0.15549937322366514,0.4001784349632351
0.0,strong_classical,1,ok,0.12872206452956902,0.4001784349632351
0.0,tabpfn,2,ok,0.16553238624148564,0.3866900334263863
0.0,strong_classical,2,ok,0.17903206251679746,0.3866900334263863
0.0,tabpfn,3,ok,0.13712376245443175,0.4001784349632351
0.0,strong_classical,3,ok,0.10347036893340449,0.4001784349632351
0.0,tabpfn,4,ok,0.14810227100786205,0.3943976914474427
0.0,strong_classical,4,ok,0.17614225077877485,0.3943976914474427
0.25,tabpfn,0,ok,0.2741360873119802,0.3732016318895376
0.25,strong_classical,0,ok,0.28890790063345273,0.3732016318895376
0.25,tabpfn,1,ok,0.27002027780409366,0.4001784349632351
0.25,strong_classical,1,ok,0.2918005362759948,0.4001784349632351
0.25,tabpfn,2,ok,0.30010648379688964,0.3866900334263863
0.25,strong_classical,2,ok,0.46166671459381936,0.3866900334263863
0.25,tabpfn,3,ok,0.26237181725171754,0.4001784349632351
0.25,strong_classical,3,ok,0.2811724044641744,0.4001784349632351
0.25,tabpfn,4,ok,0.27988169739127694,0.3943976914474427
0.25,strong_classical,4,ok,0.33640777515392994,0.3943976914474427
0.5,tabpfn,0,ok,0.33838641397891406,0.3732016318895376
0.5,strong_classical,0,ok,0.42493844442157747,0.3732016318895376
0.5,tabpfn,1,ok,0.31914081608842865,0.4001784349632351
0.5,strong_classical,1,ok,0.3774149647041146,0.4001784349632351
0.5,tabpfn,2,ok,0.35720002427115766,0.3866900334263863
0.5,strong_classical,2,ok,0.47887172432580283,0.3866900334263863
0.5,tabpfn,3,ok,0.32502831223164397,0.4001784349632351
0.5,strong_classical,3,ok,0.4143763129926396,0.4001784349632351
0.5,tabpfn,4,ok,0.343800314039824,0.3943976914474427
0.5,strong_classical,4,ok,0.3982405603611565,0.3943976914474427
0.75,tabpfn,0,ok,0.38151724046012636,0.3732016318895376
0.75,strong_classical,0,ok,0.4868506671066997,0.3732016318895376
0.75,tabpfn,1,ok,0.3274876848039506,0.4001784349632351
0.75,strong_classical,1,ok,0.415904285593629,0.4001784349632351
0.75,tabpfn,2,ok,0.3792574173485712,0.3866900334263863
0.75,strong_classical,2,ok,0.4768934745170295,0.3866900334263863
0.75,tabpfn,3,ok,0.3398551808797964,0.4001784349632351
0.75,strong_classical,3,ok,0.43862141994438103,0.4001784349632351
0.75,tabpfn,4,ok,0.3610669198678178,0.3943976914474427
0.75,strong_classical,4,ok,0.45714933909991246,0.3943976914474427
1.0,tabpfn,0,ok,0.38219780604889375,0.3732016318895376
1.0,strong_classical,0,ok,0.47481236229067764,0.3732016318895376
1.0,tabpfn,1,ok,0.3299947864425017,0.4001784349632351
1.0,strong_classical,1,ok,0.39419992524244873,0.4001784349632351
1.0,tabpfn,2,ok,0.3773149371433777,0.3866900334263863
1.0,strong_classical,2,ok,0.47819289310550583,0.3866900334263863
1.0,tabpfn,3,ok,0.35681056373977066,0.4001784349632351
1.0,strong_classical,3,ok,0.4807845831480519,0.4001784349632351
1.0,tabpfn,4,ok,0.35590647544000786,0.3943976914474427
1.0,strong_classical,4,ok,0.4358842371512892,0.3943976914474427
