feature,importance
stat_log_n,0.13020189016489242
stat_n,0.09866939668228053
stat_log_d,0.09134754626299733
stat_knn_agree_k15,0.07425413690753556
stat_cov_cond_number,0.07113037185399693
stat_kurtosis_max,0.04481038613083222
stat_rotation_alignment,0.03413783590623863
stat_linear_acc,0.03357632967914237
stat_cov_effective_rank,0.03300847270363129
stat_skew_mean,0.03201667678605276
stat_class_imbalance_ratio,0.02952578495313671
stat_kurtosis_mean,0.026485485953775298
stat_skew_max,0.02571414633324523
stat_stump_minus_linear,0.02376367309649739
stat_rotation_alignment_sd,0.022713635232530133
stat_majority_acc,0.01813338705198046
stat_mi_mean,0.016594430478417025
stat_stump_acc,0.01658146482460622
stat_linear_lift,0.016123863337808457
stat_kurtosis_frac_high,0.0145620219379267
stat_knn_agree_k1,0.012755060379815926
stat_est_label_noise,0.012755060379815919
stat_class_entropy,0.012490950695922228
stat_cov_effective_rank_ratio,0.01150598640285784
stat_skew_frac_high,0.011486943811287146
stat_mi_frac_low,0.011419115985091082
stat_knn_agree_k5,0.007649938909828844
stat_n_classes,0.007593607314535856
stat_rotation_base_score,0.006187615048308968
stat_mi_max,0.006004727082611362
stat_mi_concentration,0.003742731099379913
stat_d,0.001992870460175003
stat_n_over_d,0.0007248256652797221
stat_categorical_fraction,0.0
stat_max_categorical_cardinality,0.0
stat_missing_rate,0.0
