dataset_id,strong_classical,tabpfn,actual_gap,n_seeds,name,name_pred,n_full,n_eval_train,d_eval,n_classes,in_operating_range,predicted_regret,predicted_out_of_prior,predicted_loss_vs_strong_classical,confidence
18,0.5843203156416384,0.5554715921773336,-0.028848723464304893,3,mfeat-morphological,mfeat-morphological,2000,1400,6,10,True,-0.22036718291670834,False,False,0.9836756469680368
22,0.5247788607712116,0.2723600901034202,-0.2524187706677914,3,mfeat-zernike,mfeat-zernike,2000,1400,47,10,True,-0.158777871696588,False,False,0.7531770109088509
28,0.059600794611568995,0.045265467973854834,-0.014335326637714162,3,optdigits,optdigits,5620,3934,62,10,True,-0.1542376867583993,False,False,0.7361853216858828
44,0.15133058193184304,0.11045533930097802,-0.04087524263086502,2,spambase,spambase,4601,3220,57,2,True,-0.20518111093221894,False,False,0.9268416150528056
50,9.933483601630395e-05,0.06364213197408447,0.06354279713806817,2,tic-tac-toe,tic-tac-toe,958,670,9,2,True,-0.029930516263541734,False,False,0.2709644467675589
151,0.3415333516987915,0.3156112282140887,-0.025922123484702797,1,electricity,electricity,45312,4000,8,2,False,-0.06871089372580214,False,False,0.416100411658675
182,0.26994191739652795,0.18116585403160806,-0.08877606336491989,2,satimage,satimage,6430,4000,36,6,True,-0.09949253323504656,False,False,0.5313010167959591
469,1.9097040183160878,1.778131079536085,-0.13157293878000287,2,analcatdata_dmft,analcatdata_dmft,797,557,4,6,True,0.2714861739390231,True,True,0.8570906426757613
1053,0.43909685987003827,0.44077679971531725,0.001679939845278977,2,jm1,jm1,10885,4000,21,2,False,-0.23626123806036967,False,False,1.0
1067,0.33592686188400966,0.3243903188154148,-0.011536543068594862,2,kc1,kc1,2109,1476,21,2,True,-0.3709653767221447,False,False,1.0
1461,0.21968850012811836,0.20172331473464072,-0.017965185393477634,2,bank-marketing,bank-marketing,45211,4000,16,2,False,-0.10035940176497654,False,False,0.5345452812605732
1462,5.5715423926699406e-05,0.00028843273006796613,0.00023271730614126673,1,banknote-authentication,banknote-authentication,1372,960,4,2,True,-0.2840148610876746,False,False,1.0
1468,0.18697673242734703,0.224516689160887,0.037539956733539964,1,cnae-9,cnae-9,1080,756,500,9,False,-0.00697239742920952,False,False,0.1850434489034113
1478,0.04051684983945479,0.02123291382451127,-0.01928393601494352,2,har,har,10299,4000,500,6,False,-0.27583031620203424,False,False,1.0
1486,0.14780710271928266,0.11887789296524139,-0.02892920975404127,2,nomao,nomao,34465,4000,118,2,False,-0.32122322700040895,False,False,1.0
1489,0.29716621972129165,0.21412266358746268,-0.08304355613382897,2,phoneme,phoneme,5404,3782,5,2,True,-0.13073645269626874,False,False,0.6482317094483893
1510,0.20580321923752182,0.12657521577539793,-0.07922800346212389,2,wdbc,wdbc,569,398,30,2,True,-0.23479608606651173,False,False,1.0
4134,0.4807773386498919,0.48617836406603615,0.005401025416144234,2,Bioresponse,Bioresponse,3751,2625,500,2,False,-0.2594585925846886,False,False,1.0
4534,0.10084106618013405,0.09161178028316565,-0.009229285896968406,1,PhishingWebsites,PhishingWebsites,11055,4000,30,2,False,-0.07663833423960387,False,False,0.445768940006735
23381,0.6823127226984798,0.6666778807299171,-0.015634841968562685,2,dresses-sales,dresses-sales,500,350,12,2,True,0.09527686662250212,True,True,0.19762548236198074
40670,0.1505432571344917,0.12758113340341976,-0.022962123731071954,2,dna,dna,3186,2230,180,3,True,-0.2885643351653254,False,False,1.0
40978,0.10320979008400502,0.09141382550625529,-0.011795964577749729,2,Internet-Advertisements,Internet-Advertisements,3279,2295,500,2,False,-0.2666048127946301,False,False,1.0
40982,0.5411696817244825,0.45152545663331767,-0.08964422509116488,2,steel-plates-fault,steel-plates-fault,1941,1358,27,7,True,-0.24357523322357702,False,False,1.0
40983,0.03623275269235432,0.03624870537774303,1.5952685388710697e-05,2,wilt,wilt,4839,3387,5,2,True,-0.2808806585121394,False,False,1.0
40996,0.4633470651893542,0.4214364062353266,-0.041910658954027624,2,Fashion-MNIST,Fashion-MNIST,70000,4000,500,10,False,-0.175487182008598,False,False,0.8157117780641909
44120,0.40283433596522644,0.37698242488626305,-0.025851911078963397,2,electricity,electricity,38474,4000,7,2,False,-0.0912439322019673,False,False,0.5004305418733555
44121,0.5263110063256384,0.44013499998322236,-0.08617600634241607,2,covertype,covertype,566602,4000,10,2,False,-0.027190549841277417,False,False,0.2607100940127001
