dataset_id,n_train,n_numeric,d_total,delta
12,1400,194,216,0.02186932240636512
14,1400,76,76,0.12883192052482262
16,1400,64,64,0.023629142534243114
22,1400,47,47,0.028788838500938774
29,483,6,15,0.01713846365482441
32,1500,16,16,0.009814280272045332
37,537,7,8,-0.003164175248053125
38,1500,6,27,0.018831754445305833
44,1500,54,57,0.04102675564515648
54,592,16,18,0.038912296457724815
151,1500,7,8,0.07049125444653942
182,1500,36,36,0.01463013256379403
188,515,10,19,-0.0018976152247572875
458,588,37,70,0.0010608761539686957
554,1500,473,500,0.060347805400247534
1049,1020,34,37,0.025268550582550647
1050,1094,35,37,0.00019622478984127056
1053,1500,20,21,-0.0006642565720718085
1063,365,18,21,-0.007891840762937252
1067,1476,19,21,0.006381747565730345
1068,776,21,21,0.001438970042273252
1461,1500,6,16,0.013511712406140075
1462,960,4,4,0.0002607685984426957
1464,523,4,4,0.0006248169730169728
1475,1500,48,51,0.03029736090777524
1478,1500,498,500,0.06553114709182566
1480,408,9,10,0.018959477208896902
1485,1500,476,500,0.36442066732622796
1486,1500,50,118,0.021344005101414154
1487,1500,72,72,0.007201546035005418
1489,1500,5,5,0.015539057715133309
1494,738,19,41,0.010411818951365448
1497,1500,24,24,0.2724456012378639
1510,398,30,30,-0.0037451447428921564
1590,1500,6,14,0.009819735243681682
4134,1500,15,500,0.0026671600136647933
4538,1500,32,32,0.07297437438224041
6332,378,14,35,0.03523296006628768
23517,1500,21,21,0.0008567994267718593
40701,1500,15,20,0.04035967988898631
40927,1500,500,500,0.02315539388596788
40966,756,77,77,0.020376107904918263
40982,1358,24,27,0.13897757452196763
40983,1500,5,5,0.0022295154266654196
40984,1500,14,16,0.008815381135586386
40994,378,18,18,0.04662672474247581
40996,1500,500,500,0.05187682915857322
44089,1500,5,10,0.027742470138051423
44120,1500,7,7,0.04691140626406337
44121,1500,10,10,0.022446941609551463
44122,1500,24,26,0.01623561869179052
44123,1500,16,16,0.05465895168915752
44125,1500,10,10,0.023167024501722255
44126,1500,6,7,0.010708976872938425
44128,1500,50,50,0.07364374564970991
44130,1500,18,20,0.007701398703705897
44156,1500,7,8,0.05829064866828737
44157,1500,18,23,0.007494130563196588
44159,1500,10,49,0.04193889159249936
45019,1500,169,419,0.0060828722462860085
45020,1500,14,20,0.007780656611790837
45021,1500,54,54,0.05793878926974316
45026,1500,14,22,0.008295581396551288
45028,1500,8,8,0.06874106569422608
45035,1500,19,31,0.009571911052979387
45036,1500,14,21,0.007542217729896272
45038,1500,12,32,0.02475339126505932
46905,1500,9,9,0.003919631919431288
46908,1500,147,169,0.006990091044095963
46910,1500,4,13,0.0007705598696053917
46911,1500,4,10,0.007846114922144598
46912,1500,15,500,-0.0004247305274670543
46913,523,4,4,0.008267682363716278
46915,1500,14,19,0.027005829746438836
46919,1500,14,23,-0.0026168838060204314
46920,1500,4,21,-0.0020720107112535135
46921,537,7,8,0.01605420874379815
46922,1500,6,44,-0.00043506614734106774
46929,1500,5,10,0.01341908016374932
46930,1500,30,30,0.01819482511929374
46932,1500,14,23,0.025689031753047376
46935,1500,4,12,0.009860984953907082
46938,1206,5,13,0.005672936533966277
46939,1500,59,211,0.0017085003063222887
46940,1500,10,25,0.012090994414772044
46947,1500,7,17,0.0062406696963219765
46950,1500,64,64,0.07468114548880779
46952,737,18,41,0.0015143565675385662
46955,1500,10,11,0.04044330876985895
46956,1500,6,15,0.0015156155148640937
46960,1500,14,36,0.021034105318076368
46962,1500,93,94,0.009568607020129502
46964,1500,11,12,0.022456563174049426
46979,1500,20,21,0.007309835265209674
46980,1189,9,111,0.07428100292818773
